,year,address_ku,status,industry_type,count
55,2010,豊島区,開店,小売店,0.0
56,2010,豊島区,開店,飲食店,0.0
57,2010,豊島区,開店,観光・宿泊・レジャー,0.0
58,2010,豊島区,開店,サービス,0.0
59,2010,豊島区,開店,車・不動産,0.0
60,2010,豊島区,開店,レンタル,0.0
61,2010,豊島区,開店,スポーツ,0.0
62,2010,豊島区,開店,美容・健康・福祉,0.0
63,2010,豊島区,開店,ブログ,0.0
64,2010,豊島区,開店,公共施設・交通・金融,0.0
65,2010,豊島区,開店,期間限定,0.0
561,2011,豊島区,開店,小売店,16.0
562,2011,豊島区,開店,飲食店,34.0
563,2011,豊島区,開店,観光・宿泊・レジャー,1.0
564,2011,豊島区,開店,サービス,0.0
565,2011,豊島区,開店,車・不動産,0.0
566,2011,豊島区,開店,レンタル,0.0
567,2011,豊島区,開店,スポーツ,0.0
568,2011,豊島区,開店,美容・健康・福祉,0.0
569,2011,豊島区,開店,ブログ,0.0
570,2011,豊島区,開店,公共施設・交通・金融,0.0
571,2011,豊島区,開店,期間限定,0.0
1067,2012,豊島区,開店,小売店,31.0
1068,2012,豊島区,開店,飲食店,44.0
1069,2012,豊島区,開店,観光・宿泊・レジャー,5.0
1070,2012,豊島区,開店,サービス,1.0
1071,2012,豊島区,開店,車・不動産,1.0
1072,2012,豊島区,開店,レンタル,0.0
1073,2012,豊島区,開店,スポーツ,3.0
1074,2012,豊島区,開店,美容・健康・福祉,4.0
1075,2012,豊島区,開店,ブログ,0.0
1076,2012,豊島区,開店,公共施設・交通・金融,1.0
1077,2012,豊島区,開店,期間限定,0.0
1573,2013,豊島区,開店,小売店,1.0
1574,2013,豊島区,開店,飲食店,1.0
1575,2013,豊島区,開店,観光・宿泊・レジャー,0.0
1576,2013,豊島区,開店,サービス,0.0
1577,2013,豊島区,開店,車・不動産,0.0
1578,2013,豊島区,開店,レンタル,0.0
1579,2013,豊島区,開店,スポーツ,0.0
1580,2013,豊島区,開店,美容・健康・福祉,0.0
1581,2013,豊島区,開店,ブログ,0.0
1582,2013,豊島区,開店,公共施設・交通・金融,0.0
1583,2013,豊島区,開店,期間限定,0.0
2079,2014,豊島区,開店,小売店,4.0
2080,2014,豊島区,開店,飲食店,10.0
2081,2014,豊島区,開店,観光・宿泊・レジャー,0.0
2082,2014,豊島区,開店,サービス,1.0
2083,2014,豊島区,開店,車・不動産,1.0
2084,2014,豊島区,開店,レンタル,0.0
2085,2014,豊島区,開店,スポーツ,0.0
2086,2014,豊島区,開店,美容・健康・福祉,1.0
2087,2014,豊島区,開店,ブログ,0.0
2088,2014,豊島区,開店,公共施設・交通・金融,0.0
2089,2014,豊島区,開店,期間限定,0.0
2585,2015,豊島区,開店,小売店,15.0
2586,2015,豊島区,開店,飲食店,54.0
2587,2015,豊島区,開店,観光・宿泊・レジャー,0.0
2588,2015,豊島区,開店,サービス,1.0
2589,2015,豊島区,開店,車・不動産,0.0
2590,2015,豊島区,開店,レンタル,1.0
2591,2015,豊島区,開店,スポーツ,1.0
2592,2015,豊島区,開店,美容・健康・福祉,2.0
2593,2015,豊島区,開店,ブログ,0.0
2594,2015,豊島区,開店,公共施設・交通・金融,0.0
2595,2015,豊島区,開店,期間限定,0.0
3091,2016,豊島区,開店,小売店,22.0
3092,2016,豊島区,開店,飲食店,94.0
3093,2016,豊島区,開店,観光・宿泊・レジャー,4.0
3094,2016,豊島区,開店,サービス,1.0
3095,2016,豊島区,開店,車・不動産,0.0
3096,2016,豊島区,開店,レンタル,2.0
3097,2016,豊島区,開店,スポーツ,0.0
3098,2016,豊島区,開店,美容・健康・福祉,4.0
3099,2016,豊島区,開店,ブログ,0.0
3100,2016,豊島区,開店,公共施設・交通・金融,0.0
3101,2016,豊島区,開店,期間限定,0.0
3597,2017,豊島区,開店,小売店,35.0
3598,2017,豊島区,開店,飲食店,74.0
3599,2017,豊島区,開店,観光・宿泊・レジャー,8.0
3600,2017,豊島区,開店,サービス,2.0
3601,2017,豊島区,開店,車・不動産,1.0
3602,2017,豊島区,開店,レンタル,1.0
3603,2017,豊島区,開店,スポーツ,2.0
3604,2017,豊島区,開店,美容・健康・福祉,4.0
3605,2017,豊島区,開店,ブログ,0.0
3606,2017,豊島区,開店,公共施設・交通・金融,0.0
3607,2017,豊島区,開店,期間限定,0.0
4103,2018,豊島区,開店,小売店,47.0
4104,2018,豊島区,開店,飲食店,100.0
4105,2018,豊島区,開店,観光・宿泊・レジャー,4.0
4106,2018,豊島区,開店,サービス,6.0
4107,2018,豊島区,開店,車・不動産,1.0
4108,2018,豊島区,開店,レンタル,3.0
4109,2018,豊島区,開店,スポーツ,5.0
4110,2018,豊島区,開店,美容・健康・福祉,3.0
4111,2018,豊島区,開店,ブログ,0.0
4112,2018,豊島区,開店,公共施設・交通・金融,0.0
4113,2018,豊島区,開店,期間限定,0.0
4609,2019,豊島区,開店,小売店,40.0
4610,2019,豊島区,開店,飲食店,118.0
4611,2019,豊島区,開店,観光・宿泊・レジャー,10.0
4612,2019,豊島区,開店,サービス,5.0
4613,2019,豊島区,開店,車・不動産,2.0
4614,2019,豊島区,開店,レンタル,2.0
4615,2019,豊島区,開店,スポーツ,4.0
4616,2019,豊島区,開店,美容・健康・福祉,4.0
4617,2019,豊島区,開店,ブログ,0.0
4618,2019,豊島区,開店,公共施設・交通・金融,0.0
4619,2019,豊島区,開店,期間限定,0.0
5115,2020,豊島区,開店,小売店,40.0
5116,2020,豊島区,開店,飲食店,99.0
5117,2020,豊島区,開店,観光・宿泊・レジャー,7.0
5118,2020,豊島区,開店,サービス,3.0
5119,2020,豊島区,開店,車・不動産,3.0
5120,2020,豊島区,開店,レンタル,0.0
5121,2020,豊島区,開店,スポーツ,0.0
5122,2020,豊島区,開店,美容・健康・福祉,6.0
5123,2020,豊島区,開店,ブログ,0.0
5124,2020,豊島区,開店,公共施設・交通・金融,3.0
5125,2020,豊島区,開店,期間限定,0.0
5621,2021,豊島区,開店,小売店,33.0
5622,2021,豊島区,開店,飲食店,108.0
5623,2021,豊島区,開店,観光・宿泊・レジャー,7.0
5624,2021,豊島区,開店,サービス,2.0
5625,2021,豊島区,開店,車・不動産,1.0
5626,2021,豊島区,開店,レンタル,4.0
5627,2021,豊島区,開店,スポーツ,0.0
5628,2021,豊島区,開店,美容・健康・福祉,3.0
5629,2021,豊島区,開店,ブログ,0.0
5630,2021,豊島区,開店,公共施設・交通・金融,0.0
5631,2021,豊島区,開店,期間限定,0.0
6127,2022,豊島区,開店,小売店,16.0
6128,2022,豊島区,開店,飲食店,94.0
6129,2022,豊島区,開店,観光・宿泊・レジャー,4.0
6130,2022,豊島区,開店,サービス,1.0
6131,2022,豊島区,開店,車・不動産,1.0
6132,2022,豊島区,開店,レンタル,2.0
6133,2022,豊島区,開店,スポーツ,1.0
6134,2022,豊島区,開店,美容・健康・福祉,5.0
6135,2022,豊島区,開店,ブログ,0.0
6136,2022,豊島区,開店,公共施設・交通・金融,1.0
6137,2022,豊島区,開店,期間限定,0.0
